"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1517","User login with wrong email or password","LMS system","Thu May 08 21:50:32 GMT 2025","passed","Thu May 08 21:50:33 GMT 2025","Authorization","Authentication","",""
"","1601","Check displaying of empty courses list","LMS system","Thu May 08 21:50:36 GMT 2025","passed","Thu May 08 21:50:38 GMT 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Thu May 08 21:50:43 GMT 2025","passed","Thu May 08 21:50:43 GMT 2025","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Thu May 08 21:50:44 GMT 2025","passed","Thu May 08 21:50:44 GMT 2025","TestUserAuthentication","test_markers","",""
"","1788","Check displaying of dashboard page","LMS system","Thu May 08 21:50:42 GMT 2025","passed","Thu May 08 21:50:44 GMT 2025","Dashboard","Dashboard","",""
"","1911","Registration with correct email, username and password","LMS system","Thu May 08 21:50:34 GMT 2025","passed","Thu May 08 21:50:36 GMT 2025","Registration","Authentication","",""
"","4230","Registration with correct email, username and password","LMS system","Thu May 08 21:50:27 GMT 2025","passed","Thu May 08 21:50:31 GMT 2025","Authorization","Authentication","",""
"","4455","Edit course","LMS system","Thu May 08 21:50:38 GMT 2025","passed","Thu May 08 21:50:42 GMT 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Thu May 08 21:50:43 GMT 2025","passed","Thu May 08 21:50:43 GMT 2025","TestUserInterface","test_markers","",""
"","3579","Create course","LMS system","Thu May 08 21:50:38 GMT 2025","passed","Thu May 08 21:50:42 GMT 2025","Courses","Courses","",""
"","1933","User login with wrong email or password","LMS system","Thu May 08 21:50:30 GMT 2025","passed","Thu May 08 21:50:32 GMT 2025","Authorization","Authentication","",""
"","1578","Navigation from login page to registration page","LMS system","Thu May 08 21:50:32 GMT 2025","passed","Thu May 08 21:50:34 GMT 2025","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Thu May 08 21:50:43 GMT 2025","passed","Thu May 08 21:50:43 GMT 2025","TestUserAuthentication","test_markers","",""
"","2208","User login with wrong email or password","LMS system","Thu May 08 21:50:27 GMT 2025","passed","Thu May 08 21:50:29 GMT 2025","Authorization","Authentication","",""
